COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE
Philippines,2023-09-01,123.9,0.0175558715612436,6.25
Philippines,2023-10-01,123.7,0.0175737658822909,6.5
Philippines,2023-11-01,123.9,0.0180740312319259,6.5
Philippines,2023-12-01,124.1,0.0179962927636906,6.5
Philippines,2024-01-01,124.8,0.0177509541137836,6.5
Philippines,2024-02-01,125.5,0.0177977112143378,6.5
Philippines,2024-03-01,125.6,0.0177679856434676,6.5
Philippines,2024-04-01,125.5,0.0173319236702081,6.5
Philippines,2024-05-01,125.6,0.0170590242238144,6.5
Philippines,2024-06-01,125.6,0.0169871577087721,6.5
Philippines,2024-07-01,126.5,0.0170517520675249,6.5
Philippines,2024-08-01,126.6,0.017765460391906,6.25
Philippines,2024-09-01,126.3,0.0178916481786302,6.25
Philippines,2024-10-01,126.5,0.0171662031791808,6.0
Philippines,2024-11-01,127.0,0.0170375166115787,6.0
Philippines,2024-12-01,127.7,0.0172372186024063,5.75
Philippines,2025-01-01,128.4,0.0171344367910626,5.75
Philippines,2025-02-01,128.1,0.0172720520925091,5.75
Philippines,2025-03-01,127.8,0.0174270677215851,5.75
Philippines,2025-04-01,127.3,0.0177771457014861,5.5
Philippines,2025-05-01,127.2,0.0179523544512862,5.5
Philippines,2025-06-01,127.3,0.0176737774164472,5.25
Philippines,2025-07-01,127.7,0.0174501797368512,5.25
Philippines,2025-08-01,128.5,0.0175177367084172,5.0
Philippines,2025-09-01,128.5,0.0172289032080217,5.0
Philippines,2025-10-01,,0.0169482907648763,4.75
