COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE
Philippines,2024-03-01,125.6,55.8492631578947,6.5
Philippines,2024-04-01,125.5,56.95055,6.5
Philippines,2024-05-01,125.6,57.7618636363636,6.5
Philippines,2024-06-01,125.6,58.6962777777778,6.5
Philippines,2024-07-01,126.5,58.4844782608696,6.5
Philippines,2024-08-01,126.6,57.19345,6.25
Philippines,2024-09-01,126.3,56.0712857142857,6.25
Philippines,2024-10-01,126.5,57.3008695652174,6.0
Philippines,2024-11-01,127.0,58.69465,6.0
Philippines,2024-12-01,127.7,58.448,5.75
Philippines,2025-01-01,128.4,58.390619047619,5.75
Philippines,2025-02-01,128.1,58.09415,5.75
Philippines,2025-03-01,127.8,57.4245714285714,5.75
Philippines,2025-04-01,127.3,56.8528888888889,5.5
Philippines,2025-05-01,127.2,55.6246,5.5
Philippines,2025-06-01,127.3,56.3585789473684,5.25
Philippines,2025-07-01,127.7,56.752347826087,5.25
Philippines,2025-08-01,128.5,57.2525263157895,5.0
Philippines,2025-09-01,128.5,57.2500909090909,5.0
