COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE,CPI_lag_1,CPI_lag_3,CPI_lag_6,CPI_roll_3,ER_lag_1,ER_lag_3,ER_lag_6,ER_roll_3,IR_lag_1,IR_lag_3,IR_lag_6,IR_roll_3
Philippines,2016-07-01,92.42944785276076,47.0581,3.0,92.25907099035936,91.74794040315514,91.66275197195444,91.97510955302369,46.4644545454546,46.2845238095238,47.5111,46.517088023088036,3.0,4.0,4.0,3.6666666666666665
Philippines,2016-08-01,92.42944785276076,46.6808636363636,3.0,92.42944785276076,91.91831726555654,91.49237510955304,92.20227870289222,47.0581,46.8022857142857,47.6361052631579,46.77494675324677,3.0,4.0,4.0,3.3333333333333335
Philippines,2016-09-01,92.59982471516216,47.429380952381,3.0,92.42944785276076,92.25907099035936,91.49237510955304,92.37265556529361,46.6808636363636,46.4644545454546,46.7239523809524,46.73447272727273,3.0,3.0,4.0,3.0
Philippines,2016-10-01,92.77020157756355,48.3482,3.0,92.59982471516216,92.42944785276076,91.74794040315514,92.48624014022789,47.429380952381,47.0581,46.2845238095238,47.05611486291486,3.0,3.0,4.0,3.0
Philippines,2016-11-01,93.28133216476776,49.155,3.0,92.77020157756355,92.42944785276076,91.91831726555654,92.59982471516214,48.3482,46.6808636363636,46.8022857142857,47.4861481962482,3.0,3.0,4.0,3.0
Philippines,2016-12-01,93.62208588957056,49.8156,3.0,93.28133216476776,92.59982471516216,92.25907099035936,92.88378615249782,49.155,47.429380952381,46.4644545454546,48.31086031746033,3.0,3.0,3.0,3.0
Philippines,2017-01-01,93.96283961437337,49.7362857142857,3.0,93.62208588957056,92.77020157756355,92.42944785276076,93.22453987730061,49.8156,48.3482,47.0581,49.10626666666667,3.0,3.0,3.0,3.0
Philippines,2017-02-01,94.30359333917616,49.9614,3.0,93.96283961437337,93.28133216476776,92.42944785276076,93.62208588957056,49.7362857142857,49.155,46.6808636363636,49.5689619047619,3.0,3.0,3.0,3.0
Philippines,2017-03-01,94.30359333917616,50.2751739130435,3.0,94.30359333917616,93.62208588957056,92.59982471516216,93.96283961437337,49.9614,49.8156,47.429380952381,49.8377619047619,3.0,3.0,3.0,3.0
Philippines,2017-04-01,94.64434706397898,49.8626470588235,3.0,94.30359333917616,93.96283961437337,92.77020157756355,94.1900087642419,50.2751739130435,49.7362857142857,48.3482,49.99095320910973,3.0,3.0,3.0,3.0
Philippines,2017-05-01,94.55915863277828,49.8603181818182,3.0,94.64434706397898,94.30359333917616,93.28133216476776,94.41717791411043,49.8626470588235,49.9614,49.155,50.033073657289,3.0,3.0,3.0,3.0
Philippines,2017-06-01,94.55915863277828,49.8501,3.0,94.55915863277828,94.30359333917616,93.62208588957056,94.50236634531115,49.8603181818182,50.2751739130435,49.8156,49.99937971789507,3.0,3.0,3.0,3.0
Philippines,2017-07-01,94.64434706397898,50.6381904761905,3.0,94.55915863277828,94.64434706397898,93.96283961437337,94.58755477651185,49.8501,49.8626470588235,49.7362857142857,49.85768841354724,3.0,3.0,3.0,3.0
Philippines,2017-08-01,94.81472392638038,50.8747142857143,3.0,94.64434706397898,94.55915863277828,94.30359333917616,94.58755477651185,50.6381904761905,49.8603181818182,49.9614,50.116202886002895,3.0,3.0,3.0,3.0
Philippines,2017-09-01,95.41104294478528,51.0094210526316,3.0,94.81472392638038,94.55915863277828,94.30359333917616,94.67274320771254,50.8747142857143,49.8501,50.2751739130435,50.45433492063493,3.0,3.0,3.0,3.0
Philippines,2017-10-01,95.6666082383874,51.3433,3.0,95.41104294478528,94.64434706397898,94.64434706397898,94.95670464504822,51.0094210526316,50.6381904761905,49.8626470588235,50.840775271512136,3.0,3.0,3.0,3.0
Philippines,2017-11-01,96.0925503943909,51.03835,3.0,95.6666082383874,94.81472392638038,94.55915863277828,95.29745836985103,51.3433,50.8747142857143,49.8603181818182,51.075811779448635,3.0,3.0,3.0,3.0
Philippines,2017-12-01,96.348115687993,50.3947368421053,3.0,96.0925503943909,95.41104294478528,94.55915863277828,95.72340052585452,51.03835,51.0094210526316,49.8501,51.130357017543865,3.0,3.0,3.0,3.0
Philippines,2018-01-01,97.2,50.5086666666667,3.0,96.348115687993,95.6666082383874,94.64434706397898,96.03575810692377,50.3947368421053,51.3433,50.6381904761905,50.925462280701765,3.0,3.0,3.0,3.0
Philippines,2018-02-01,97.9,51.7856315789474,3.0,97.2,96.0925503943909,94.81472392638038,96.54688869412797,50.5086666666667,51.03835,50.8747142857143,50.64725116959067,3.0,3.0,3.0,3.0
